lat_index,lon_index,latitude,longitude,missing_count,valid_count,missing_fraction,longest_consecutive_missing,number_of_missing_runs,first_missing_date,last_missing_date
83,38,25.75,54.5,547,872,0.3854827343199436,136,13,2021-01-01T00:00:00.000000000,2022-10-01T00:00:00.000000000
82,38,25.5,54.5,535,884,0.3770260747004933,80,14,2021-01-01T00:00:00.000000000,2022-10-01T00:00:00.000000000
66,186,21.5,91.5,520,899,0.3664552501761804,340,10,2021-06-21T00:00:00.000000000,2024-11-19T00:00:00.000000000
80,37,25.0,54.25,519,900,0.3657505285412262,148,11,2021-01-01T00:00:00.000000000,2022-11-18T00:00:00.000000000
80,51,25.0,57.75,519,900,0.3657505285412262,56,37,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
80,36,25.0,54.0,475,944,0.3347427766032417,128,12,2021-01-01T00:00:00.000000000,2022-11-18T00:00:00.000000000
81,37,25.25,54.25,463,956,0.3262861169837914,128,13,2021-01-01T00:00:00.000000000,2022-10-01T00:00:00.000000000
66,184,21.5,91.0,452,967,0.31853417899929526,340,8,2021-06-29T00:00:00.000000000,2024-11-19T00:00:00.000000000
66,185,21.5,91.25,452,967,0.31853417899929526,340,8,2021-06-29T00:00:00.000000000,2024-11-19T00:00:00.000000000
44,208,16.0,97.0,444,975,0.3128964059196617,348,6,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
44,209,16.0,97.25,444,975,0.3128964059196617,348,6,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
28,212,12.0,98.0,428,991,0.30162085976039466,340,5,2022-07-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
29,212,12.25,98.0,428,991,0.30162085976039466,340,5,2022-07-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
66,182,21.5,90.5,420,999,0.2959830866807611,152,11,2021-06-29T00:00:00.000000000,2024-11-19T00:00:00.000000000
66,183,21.5,90.75,420,999,0.2959830866807611,152,11,2021-06-29T00:00:00.000000000,2024-11-19T00:00:00.000000000
