lat_index,lon_index,latitude,longitude,missing_count,valid_count,missing_fraction,longest_consecutive_missing,number_of_missing_runs,first_missing_date,last_missing_date
26,191,11.5,92.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
26,192,11.5,93.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
26,220,11.5,100.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
27,18,11.75,49.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
27,190,11.75,92.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
27,231,11.75,102.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
28,190,12.0,92.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
28,221,12.0,100.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
29,23,12.25,50.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
29,24,12.25,51.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
29,25,12.25,51.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
29,34,12.25,53.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
29,35,12.25,53.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
29,36,12.25,54.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
29,37,12.25,54.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
29,120,12.25,75.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
29,190,12.25,92.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
30,142,12.5,80.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
30,193,12.5,93.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
30,225,12.5,101.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
30,226,12.5,101.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
30,227,12.5,101.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
30,228,12.5,102.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
31,0,12.75,45.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
31,1,12.75,45.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
31,193,12.75,93.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
31,212,12.75,98.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
31,213,12.75,98.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
32,2,13.0,45.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
32,193,13.0,93.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
32,213,13.0,98.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
32,214,13.0,98.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
33,191,13.25,92.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
33,223,13.25,100.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
34,9,13.5,47.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
